team,name,state,country,district,rookie_year,active,norm_epa,wins,losses,ties,count,winrate
1,The Juggernauts,MI,USA,fim,1997,t,1550,324,337,23,684,0.4905
4,Team 4 ELEMENT,CA,USA,NULL,1997,t,1543,188,229,15,432,0.4525
5,Robocards,MI,USA,NULL,1998,f,1428,66,71,5,142,0.4824
6,The CogSquad,MN,USA,NULL,1994,f,1468,9,10,1,20,0.475
7,Team007,MD,USA,NULL,1997,f,1420,60,49,9,118,0.5466
8,Paly Robotics,CA,USA,NULL,1996,t,1597,273,267,9,549,0.5055
9,Roosevelt RoboRiders,IL,USA,NULL,1998,f,1632,59,57,4,120,0.5083
10,Red Knights,MN,USA,NULL,1998,f,1495,4,5,0,9,0.4444
11,MORT,NJ,USA,fma,1997,t,1686,588,442,16,1046,0.5698
16,Bomb Squad,AR,USA,NULL,1996,t,1668,629,230,8,867,0.7301
18,Team 18,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
19,Big Red,CT,USA,NULL,1992,f,1388,22,35,1,58,0.3879
20,The Rocketeers,NY,USA,NULL,1992,t,1667,422,236,8,666,0.6396
21,ComBBAT,FL,USA,NULL,1998,t,1528,173,215,10,398,0.4472
22,Double Deuce,CA,USA,NULL,1997,f,1525,66,53,1,120,0.5542
23,PNTA Pilgrim Nuclear Technology Alliance,MA,USA,ne,1995,f,1422,50,46,1,97,0.5206
25,Raider Robotix,NJ,USA,fma,1997,t,1634,714,325,15,1054,0.6845
27,Team RUSH,MI,USA,fim,1997,t,1626,863,409,15,1287,0.6764
28,Pierson Whalers,NY,USA,NULL,1996,t,1431,153,149,6,308,0.5065
30,FURY,NJ,USA,NULL,1998,f,1522,37,31,2,70,0.5429
31,Prime Movers,OK,USA,NULL,1997,t,1488,115,145,2,262,0.4427
33,Killer Bees,MI,USA,fim,1996,t,1711,930,362,13,1305,0.7176
34,Rockets,AL,USA,NULL,1997,t,1449,252,225,8,485,0.5278
35,Sigma Squared,MI,USA,NULL,1997,f,1510,22,23,1,46,0.4891
38,Nonnebots,CT,USA,NULL,1998,f,1619,39,32,1,72,0.5486
39,The 39th Aero Squadron,AZ,USA,NULL,1998,f,1635,99,43,7,149,0.6879
40,Checkmate,NH,USA,NULL,1998,f,1761,180,113,7,300,0.6117
41,RoboWarriors,NJ,USA,fma,1997,t,1431,270,288,15,573,0.4843
42,P.A.R.T.S. (Precision Alvirne Robotics Team Systems),NH,USA,NULL,1995,f,1532,45,42,3,90,0.5167
45,TechnoKats Robotics Team,IN,USA,fin,1992,t,1541,390,354,14,758,0.5237
46,Category5,NULL,NULL,NULL,1998,f,1398,0,1,0,1,0
47,Chief Delphi,MI,USA,fim,1996,f,1668,178,141,4,323,0.5573
48,Team E.L.I.T.E.,OH,USA,NULL,1998,t,1621,574,374,17,965,0.6036
49,Robotic Knights,MI,USA,fim,1998,f,1446,123,137,12,272,0.4743
51,The Wings of Fire,MI,USA,fim,1996,t,1784,431,299,13,743,0.5888
53,Area 53,MD,USA,chs,1998,f,1433,67,105,8,180,0.3944
55,Team 55,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
56,R.O.B.B.E.,NJ,USA,fma,1997,t,1489,544,314,14,872,0.6319
57,Leopards,TX,USA,NULL,1998,f,1621,227,193,12,432,0.5394
58,The Riot Crew,ME,USA,ne,1996,t,1568,315,244,11,570,0.5623
59,RamTech,FL,USA,NULL,1997,t,1711,190,169,7,366,0.5287
60,Kingman FIRST Robotics Team 60 (The Bionic Bulldogs),AZ,USA,NULL,1997,t,1563,384,261,15,660,0.5932
61,The Intimidators,MA,USA,ne,1995,t,1557,259,227,5,491,0.5326
62,Team 62,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
63,McDowell Robotics Team 63,PA,USA,NULL,1997,t,1562,277,256,12,545,0.5193
64,Gila Monsters,AZ,USA,NULL,1998,f,1613,76,62,1,139,0.5504
65,The Huskie Brigade,MI,USA,fim,1997,f,1514,150,135,6,291,0.5258
66,Grizzly Robotics,MI,USA,fim,1998,t,1554,455,389,17,861,0.5383
67,The HOT Team,MI,USA,fim,1997,t,1755,1020,317,16,1353,0.7598
68,Truck Town Thunder,MI,USA,fim,1998,t,1527,581,464,11,1056,0.5554
69,HYPER,MA,USA,ne,1998,t,1458,340,226,7,573,0.5995
70,More Martians,MI,USA,fim,1998,t,1727,578,397,17,992,0.5912
71,Team Hammond,IN,USA,fin,1996,t,1596,551,287,24,862,0.6531
73,The Illumination,NY,USA,NULL,1995,f,1396,44,87,5,136,0.3419
74,Team CHAOS,MI,USA,fim,1995,t,1580,488,416,13,917,0.5393
75,RoboRaiders,NJ,USA,fma,1996,t,1561,389,340,15,744,0.5329
77,Team 77,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
78,AIR STRIKE,RI,USA,ne,1996,t,1623,453,242,15,710,0.6486
79,Team 79 Krunch,FL,USA,NULL,1998,t,1457,373,286,13,672,0.5647
80,Robocolt,AZ,USA,NULL,1994,f,1551,23,19,0,42,0.5476
81,MetalHeads,IL,USA,NULL,1994,f,1482,67,115,9,191,0.3743
84,Chuck 84,PA,USA,NULL,1998,f,1558,109,84,4,197,0.5635
85,B.O.B. (Built on Brains),MI,USA,fim,1996,t,1650,574,410,13,997,0.5822
86,Team Resistance,FL,USA,NULL,1998,t,1593,262,180,7,449,0.5913
87,Diablo,NJ,USA,fma,1997,t,1500,227,260,13,500,0.467
88,TJ²,MA,USA,ne,1996,t,1689,520,355,15,890,0.5927
90,Team 90,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
92,RoboPats,IL,USA,NULL,1997,f,1469,15,23,1,39,0.3974
93,NEW Apple Corps,WI,USA,NULL,1997,t,1591,323,260,12,595,0.5529
94,The  TechnoJays,MI,USA,fim,1998,t,1450,225,275,18,518,0.4517
95,Grasshoppers,VT,USA,ne,1997,t,1725,406,314,12,732,0.5628
96,JESTER,MA,USA,NULL,1997,f,1356,27,31,1,59,0.4661
97,Bionic Beef,MA,USA,ne,1996,t,1482,176,213,15,404,0.4542
98,Team 98,NULL,NULL,NULL,NULL,f,NULL,0,0,0,0,0
100,The Wildhats,CA,USA,NULL,1995,t,1568,285,282,8,575,0.5026
101,Striker,IL,USA,NULL,1997,f,1384,98,122,13,233,0.4485
102,The Gearheads,NJ,USA,fma,1998,t,1579,348,335,10,693,0.5094
103,Cybersonics,PA,USA,fma,1997,t,1727,596,364,20,980,0.6184
104,Team Universal,PA,USA,NULL,1998,f,1540,36,40,4,80,0.475
105,Team 105,MA,USA,NULL,1996,f,1476,7,4,0,11,0.6364
107,Team R.O.B.O.T.I.C.S.,MI,USA,fim,1997,t,1617,522,396,23,941,0.567
108,SigmaC@T Robotics Team,FL,USA,NULL,1995,t,1607,295,301,14,610,0.4951
109,Team 109,IL,USA,NULL,1998,f,1585,4,5,0,9,0.4444
111,WildStang,IL,USA,NULL,1996,t,1891,597,235,14,846,0.7139
112,Plus One,IL,USA,NULL,1998,t,1617,28,29,1,58,0.4914
114,Eaglestrike,CA,USA,NULL,1997,t,1738,325,266,13,604,0.5488
